Game,TimeMs,Moves,Nodes,Visit,MaxDepth,BTrack,Uber,Fnd=>Tabl,Mega,Split,Abut,Neut,Order,InsertUnder,BurFndRdy,FCSeq,ColClr,MaxLkAhd,GenPurpose,Extender,Stat
195,2.7857,114,382,114,114,0,0,0,0,3,3,1,3,1,3,2,0,6,0,8,OK
196,3.1319,104,392,104,104,0,0,0,0,1,0,1,1,0,5,0,0,2,0,28,OK
197,2.3324,137,437,152,137,15,0,2,0,6,6,3,0,1,4,7,0,2,0,10,OK
198,16.7055,130,922,416,130,286,0,0,0,3,44,0,1,0,3,0,0,2,0,32,OK
199,2.4827,95,383,95,95,0,0,0,0,2,2,1,1,1,3,0,0,4,0,0,OK
200,3.2008,117,428,117,117,0,0,0,0,2,7,2,1,0,11,0,0,2,0,3,OK
201,2.8753,115,383,115,115,0,0,0,0,5,2,3,1,0,9,3,0,2,0,2,OK
202,3.4234,95,385,95,95,0,0,0,0,0,4,0,0,0,2,0,0,1,0,5,OK
203,4.2456,105,417,105,105,0,0,0,0,2,3,4,2,0,9,1,0,4,0,15,OK
204,3.5929,142,537,211,142,69,0,0,0,3,21,1,0,0,6,3,0,2,0,5,OK
205,7.0777,127,642,358,127,231,0,3,0,3,3,1,0,0,5,3,0,2,0,22,OK
206,4.9473,132,556,223,132,91,0,3,0,2,30,2,0,0,2,8,0,2,0,0,OK
207,3.6118,154,520,176,154,22,0,2,0,11,9,0,1,1,3,0,0,4,0,14,OK
208,2.7077,142,499,199,142,57,0,3,0,4,11,1,0,0,1,0,0,2,0,5,OK
209,1.9778,106,316,106,106,0,0,0,0,2,2,1,2,0,11,0,0,3,0,13,OK
210,4.356,123,493,123,123,0,0,0,0,8,4,1,3,0,0,8,0,4,0,6,OK
211,2.9365,142,424,145,142,3,0,2,0,3,3,1,1,9,14,11,0,8,0,2,OK
212,2.3363,110,298,110,110,0,0,0,0,3,2,2,2,1,3,2,0,2,0,0,OK
213,3.2856,137,495,137,137,0,0,3,0,6,2,2,2,7,2,20,0,8,0,30,OK
214,5.2932,116,617,325,116,209,0,0,0,8,4,2,1,0,8,1,0,2,0,23,OK
